"title","author","genre","rating","img","numRater","type","price"
"Willow Falls (Matt Bannister Western Book 1)","Ken Pratt","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/91OxLEFtJcL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","256","Kindle Edition","0.99"
"The Lost Letter","Jillian Cantor","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/81JL6Ws57DL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","186","Kindle Edition","1.99"
"Secret Sweetheart (Quinn Valley Ranch Book 11)","Liz Isaacson","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/81QAw4n5vYL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","29","Kindle Edition","2.99"
"The Life-Changing Magic of Tidying Up","Marie Kondo","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/81l4YLSx36L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","13910","Kindle Edition","9.99"
"Spark Joy","Marie Kondo","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81KZfaBgDDL._AC_UL200_SR200,200_.jpg","1148","Hardcover","13.29"
"We Were the Lucky Ones","Georgia Hunter","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/91p0SdYseNL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1955","Kindle Edition","10.99"
"The Alchemist","Paulo Coelho","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/415mwgZ7kSL._AC_UL200_SR200,200_.jpg","12290","Audible Audiobook"," Free with Audible trial"
"The Power of Now","Eckhart Tolle","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/41WIbflfG2L._AC_UL200_SR200,200_.jpg","5839","Paperback","9.49"
"The Truth About Men","DeVon Franklin","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91zK6QZ-HvL._AC_UL200_SR200,200_.jpg","30","Audible Audiobook"," Free with Audible trial"
"Daring Greatly","Brené Brown","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/81LtNi5LpAL._AC_UL200_SR200,200_.jpg","3140","Audible Audiobook"," Free with Audible trial"
"Spark Joy","Marie Kondo","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81cAq3xWUsL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1148","Kindle Edition","11.99"
"How to Change Your Mind","Michael Pollan","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81zn1eo2loL._AC_UL200_SR200,200_.jpg","387","Audible Audiobook"," Free with Audible trial"
"Jesus Calling","Sarah Young","Religion","4.9","https://images-na.ssl-images-amazon.com/images/I/51CiLSg0gAL._AC_UL200_SR200,200_.jpg","17515","Hardcover","8.49"
"The Gifts of Imperfection","Brené Brown","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/71aHmBv498L._AC_UL200_SR200,200_.jpg","3947","Paperback","11.59"
"A New Earth","Eckhart Tolle","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/810F93f0yXL._AC_UL200_SR200,200_.jpg","4113","Paperback","12.99"
"Divine Intervention","Hope Callaghan","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/91kXBIocRSL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","180","Kindle Edition","2.99"
"Head Strong","Dave Asprey","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/81WLSyKupGL._AC_UL200_SR200,200_.jpg","512","Audible Audiobook"," Free with Audible trial"
"12 Rules for Life","Jordan B. Peterson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/71rHUnSgIvL._AC_UL200_SR200,200_.jpg","4560","Audible Audiobook"," Free with Audible trial"
"Sapiens","Yuval Noah Harari","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81tPEe0egBL._AC_UL200_SR200,200_.jpg","5603","Audible Audiobook"," Free with Audible trial"
"The Neuroscientist Who Lost Her Mind","Barbara K. Lipska","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/91I4EZj8vaL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","100","Kindle Edition","12.99"
"The Uninhabitable Earth","David Wallace-Wells","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/51q0y7jEqRL._AC_UL200_SR200,200_.jpg","12","Hardcover","16.2"
"Notes from New Zealand","Edward Kanze","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/61fqdleip0L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","5","Kindle Edition","1.99"
"I Contain Multitudes","Ed Yong","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/91S5gPciXJL._AC_UL200_SR200,200_.jpg","316","Audible Audiobook"," Free with Audible trial"
"A Brief History of Everyone Who Ever Lived","Adam Rutherford","Science & Math","4.1","https://images-na.ssl-images-amazon.com/images/I/81szbRTMd4L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","230","Kindle Edition","9.04"
"Thinking, Fast and Slow","Daniel Kahneman","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81ymtzgBD9L._AC_UL200_SR200,200_.jpg","3072","Audible Audiobook"," Free with Audible trial"
